Player_Name,Matches,Runs,Batting_Avg,Strike_Rate,Wickets,Economy
S Nadeem,20,0.004497751124437781,0.02826086956521739,0.14772727272727273,0.2171945701357466,0.0332409972299169
S Narwal,4,0.004267097220620459,0.13405797101449277,0.4252873563218391,0.022624434389140274,0.04424778761061947
S Rana,8,0.010494752623688156,0.16485507246376813,0.36991869918699194,0.0,0.0
S Randiv,1,0.0002306539038173221,0.028985507246376812,0.16666666666666669,0.027149321266968326,0.03333333333333333
S Sohal,20,0.042440318302387266,0.26666666666666666,0.3944265809217578,0.0,0.0
S Sreesanth,12,0.003921116364894475,0.04106280193236715,0.19883040935672516,0.1809954751131222,0.04223864836325237
S Sriram,2,0.0035751355091684926,0.2246376811594203,0.2719298245614035,0.0,0.0
S Tyagi,1,0.00034598085572598315,0.043478260869565216,0.25,0.027149321266968326,0.02727272727272727
S Vidyut,8,0.016722408026755852,0.26268115942028986,0.4202898550724638,0.004524886877828055,0.07692307692307693
SA Abbott,3,0.002537192941990543,0.10628019323671498,0.40740740740740744,0.004524886877828055,0.016949152542372878
SA Asnodkar,19,0.048783300657363624,0.32265446224256294,0.4005681818181818,0.0,0.0
SA Yadav,151,0.4971744896782378,0.41376331701698815,0.48530901722391084,0.0,0.0
SB Bangar,7,0.005651020643524391,0.10144927536231885,0.28160919540229884,0.01809954751131222,0.0261437908496732
SB Dubey,11,0.016030446315303887,0.18313570487483533,0.5325670498084291,0.0,0.0
SB Jakati,5,0.0032291546534425094,0.08115942028985507,0.3111111111111111,0.21266968325791857,0.04268846503178928
SB Joshi,2,0.0006919617114519663,0.043478260869565216,0.125,0.004524886877828055,0.01818181818181818
SB Styris,10,0.015107830700034597,0.18985507246376812,0.3258706467661692,0.03619909502262444,0.036036036036036036
SB Wagh,2,0.0002306539038173221,0.014492753623188406,0.2222222222222222,0.022624434389140274,0.046296296296296294
SC Ganguly,56,0.15557605812478376,0.34912008281573503,0.3391151332327803,0.04524886877828055,0.03571428571428571
SD Chitnis,8,0.011417368238957445,0.1793478260869565,0.358695652173913,0.00904977375565611,0.052631578947368425
SD Hope,9,0.021104832199284974,0.2946859903381642,0.48800000000000004,0.0,0.0
SD Lad,1,0.0017299042786299158,0.21739130434782608,0.3846153846153846,0.0,0.0
SE Bond,1,0.00011532695190866105,0.014492753623188406,0.16666666666666669,0.04072398190045249,0.04712041884816754
SE Marsh,69,0.28704878330065736,0.5227893299726949,0.43369925074054716,0.0,0.0
SE Rutherford,20,0.04578479990773844,0.2876811594202899,0.4268817204301075,0.004524886877828055,0.021739130434782608
SH Johnson,5,0.0009226156152692884,0.02318840579710145,0.24242424242424246,0.022624434389140274,0.029069767441860465
SJ Srivastava,4,0.0005766347595433052,0.018115942028985508,0.33333333333333337,0.06334841628959277,0.04575163398692811
SK Raina,200,0.6384500057663476,0.4011594202898551,0.4417843747506185,0.11312217194570137,0.026881720430107524
SK Rasheed,5,0.008188213585514935,0.20579710144927535,0.35323383084577115,0.0,0.0
SK Trivedi,14,0.004843731980163764,0.043478260869565216,0.22950819672131148,0.29411764705882354,0.04174694926140013
SK Warne,27,0.02283473647791489,0.10628019323671498,0.3013698630136986,0.2579185520361991,0.046606704824202774
SL Malinga,20,0.010148771767962172,0.063768115942029,0.284789644012945,0.7692307692307693,0.05716207128446536
SM Curran,53,0.11498097105293507,0.2726278370248838,0.43670608848007003,0.26696832579185525,0.04510703363914373
SM Harwood,2,0.0010379425671779494,0.06521739130434782,0.21428571428571433,0.013574660633484163,0.04477611940298507
SM Katich,11,0.027793795409987315,0.31752305665349145,0.42059336823734733,0.0,0.0
SM Pollock,8,0.016953061930573176,0.266304347826087,0.4224137931034483,0.0497737556561086,0.039285714285714285
SMSM Senanayake,4,0.0011532695190866105,0.036231884057971016,0.19607843137254904,0.04072398190045249,0.046153846153846156
SN Khan,36,0.06746626686656672,0.23550724637681159,0.4276315789473684,0.0,0.0
SN Thakur,40,0.037481259370314844,0.11775362318840579,0.44581618655692734,0.4886877828054299,0.0489795918367347
SO Hetmyer,78,0.17160650444008765,0.27647714604236345,0.47876447876447875,0.0,0.0
SP Fleming,10,0.022604082574097566,0.28405797101449276,0.3820662768031189,0.0,0.0
SP Goswami,21,0.03379079690923769,0.20220841959972397,0.3181324647122693,0.0,0.0
SP Jackson,8,0.007034944066428324,0.1105072463768116,0.35672514619883045,0.0,0.0
SP Narine,118,0.2052819743974167,0.21861950380741835,0.5186480186480187,0.8687782805429864,0.04342908844152907
SPD Smith,93,0.28774074501210933,0.3888109708586567,0.41604135401033854,0.0,0.0
SR Tendulkar,78,0.2691731057548149,0.4336677814938685,0.3806262230919765,0.0,0.0
SR Watson,141,0.44746857340560486,0.39880768835440433,0.44721069617335174,0.416289592760181,0.04305100608329433
SS Cottrell,1,0.0,0.0,0.0,0.027149321266968326,0.04580152671755725
